number_of_trees,mtry,min_observations,terminal_nodes,rmse
10,14,15,10,986.2350532811832
10,14,15,15,974.1681353143853
10,15,1,1,1484.5064222613494
10,15,1,2,980.3972576238189
10,15,1,5,776.6330174099814
10,15,1,10,771.6455006707494
10,15,1,15,777.5292643774466
10,15,2,1,1473.6889413681288
10,15,2,2,996.7820622842802
10,15,2,5,795.9015058754483
10,15,2,10,768.6838686943786
10,15,2,15,776.8485396693061
10,15,5,1,1475.767348926842
10,15,5,2,981.4923684676562
10,15,5,5,790.149413597771
10,15,5,10,767.272176773877
10,15,5,15,776.3655036905211
10,15,10,1,1473.0241615092646
10,15,10,2,968.6181678481435
10,15,10,5,911.6675918151817
10,15,10,10,925.5516024688653
10,15,10,15,889.9494386145597
10,15,15,1,1484.443417207676
10,15,15,2,988.9265141486546
10,15,15,5,994.4724945240872
10,15,15,10,990.2819150482239
10,15,15,15,994.3736610442887
10,16,1,1,1464.1447115058827
10,16,1,2,978.7497492130358
10,16,1,5,791.9104972049682
10,16,1,10,778.4701852804727
10,16,1,15,762.5856953173635
10,16,2,1,1479.4288487019694
10,16,2,2,976.7706032079695
10,16,2,5,773.4782057121316
10,16,2,10,762.2267435028036
10,16,2,15,765.3916012099079
10,16,5,1,1473.2539211440792
10,16,5,2,990.634456880853
10,16,5,5,773.7139393953346
10,16,5,10,772.0204812868292
10,16,5,15,787.8309628146325
10,16,10,1,1477.8073825058302
10,16,10,2,980.7813486010299
10,16,10,5,921.6095418465387
10,16,10,10,907.9733287221605
10,16,10,15,922.4545427277416
10,16,15,1,1481.03451161511
10,16,15,2,984.636072000897
10,16,15,5,980.0776541879095
10,16,15,10,976.2677597786635
10,16,15,15,977.6926809813065
10,17,1,1,1483.7328952787566
10,17,1,2,969.4434665976762
10,17,1,5,777.8319987748797
10,17,1,10,766.9512840154754
10,17,1,15,779.2497710516186
10,17,2,1,1480.3982817984797
10,17,2,2,982.5148821463548
10,17,2,5,779.6905794438885
10,17,2,10,757.9886825172039
10,17,2,15,779.9650578356059
10,17,5,1,1484.113487510538
10,17,5,2,985.3755800941157
10,17,5,5,788.4304009110223
10,17,5,10,777.8740696699723
10,17,5,15,780.7806857266496
10,17,10,1,1459.5681290437872
10,17,10,2,998.5937367198262
10,17,10,5,911.9648754330213
10,17,10,10,909.0867572327635
10,17,10,15,922.0034221442868
10,17,15,1,1477.8113884279549
10,17,15,2,983.3910140218878
10,17,15,5,976.6819828673258
10,17,15,10,982.983207546747
10,17,15,15,985.1687576642368
10,18,1,1,1479.0906888732823
10,18,1,2,980.8664558248748
10,18,1,5,766.9768071949339
10,18,1,10,767.1052947818592
10,18,1,15,759.3384974989744
10,18,2,1,1473.3004481293563
10,18,2,2,980.2511714646347
10,18,2,5,772.595024962742
10,18,2,10,765.7530645280392
10,18,2,15,755.3081458083846
10,18,5,1,1482.0568877217252
10,18,5,2,987.8392814034814
10,18,5,5,785.2132007962296
10,18,5,10,778.8882183206453
10,18,5,15,781.722449893458
10,18,10,1,1482.728084466069
10,18,10,2,971.381656133101
10,18,10,5,916.9772232887875
10,18,10,10,903.7278776092719
10,18,10,15,921.2628479342796
10,18,15,1,1478.014888216195
10,18,15,2,988.8792325724594
10,18,15,5,980.3801711133326
10,18,15,10,981.0105880673051
10,18,15,15,974.439042917898
10,19,1,1,1479.258449054364
10,19,1,2,984.169294067667
10,19,1,5,783.4943793926668
10,19,1,10,774.1267102107739
10,19,1,15,759.1283062390266
10,19,2,1,1475.2468793038397
10,19,2,2,979.0141621088821
10,19,2,5,787.7800035984212
10,19,2,10,760.6194100338527
10,19,2,15,762.6536855341573
10,19,5,1,1477.6829594500246
10,19,5,2,984.9878819689388
10,19,5,5,779.8166855865809
10,19,5,10,779.7218213010551
10,19,5,15,775.2341846520342
10,19,10,1,1480.7814923352682
10,19,10,2,985.3510166258577
10,19,10,5,908.4129567244879
10,19,10,10,915.477011362105
10,19,10,15,898.3332703781065
10,19,15,1,1474.214198892271
10,19,15,2,957.7675609381002
10,19,15,5,975.9248036095554
10,19,15,10,978.428913559882
10,19,15,15,970.390534436302
10,20,1,1,1481.7662148776265
10,20,1,2,963.9722102392162
10,20,1,5,784.7747791573726
10,20,1,10,775.8977106414916
10,20,1,15,761.5301069732349
10,20,2,1,1466.5671819637082
10,20,2,2,979.6540945700114
10,20,2,5,793.9679082658748
10,20,2,10,768.5955525997925
10,20,2,15,766.924527305762
10,20,5,1,1476.4718524819698
