number_of_rounds,best_iteration,best_ntreelimit,eta,gamma,max_depth,rmse
500,364,364,0.01,100,10,425.9358825
500,155,155,0.03,1,2,498.833426
500,193,193,0.03,1,3,516.1741165999999
500,117,117,0.03,1,5,424.4673074
500,299,299,0.03,1,8,436.4492476
500,102,102,0.03,1,10,508.4596588
500,217,217,0.03,5,2,484.6133376
500,89,89,0.03,5,3,504.5395744
500,112,112,0.03,5,5,418.56801310000003
500,116,116,0.03,5,8,506.3119858
500,162,162,0.03,5,10,456.7140716
500,275,275,0.03,20,2,419.3525528
500,131,131,0.03,20,3,469.5939303
500,92,92,0.03,20,5,550.9459031
500,171,171,0.03,20,8,437.4098435
500,120,120,0.03,20,10,465.2071426
500,92,92,0.03,100,2,449.8365448
500,150,150,0.03,100,3,528.8799392
500,126,126,0.03,100,5,435.2307099
500,186,186,0.03,100,8,491.8861542
500,121,121,0.03,100,10,490.3572204
500,88,88,0.05,1,2,518.1970108
500,116,116,0.05,1,3,501.7567517
500,66,66,0.05,1,5,520.0797151
500,73,73,0.05,1,8,471.3817702
500,63,63,0.05,1,10,492.3064423
